game_name,developer,genre,rating,Outlier_Flag,Rating_Normalized,Rating_Standardized,Rating_Score_100,Rating_Category,Genre_Cleaned,Dev_Avg_Rating,Dev_Game_Count,Dev_Rating_Std,Dev_Min_Rating,Dev_Max_Rating,Developer_Tier,Genre_Popularity_Score,Global_Rank,Rating_Percentile,Data_Snapshot_Date,Data_Snapshot_DateTime
Marvel Strike Force,Scopely,Rpg,4.3,Normal,0.28571428571428553,-0.5612208953507007,28.57,2. Good (4.0 - 4.4),Rpg,4.3,1,0.0,4.3,4.3,Indie Developer,6,60,32.18,2026-01-08,2026-01-08 11:48:26
Honkai Impact 3rd,miHoYo,Action Rpg,4.6,Normal,0.7142857142857132,1.1739824851723817,71.43,1. Top Rated (≥4.5),Others,4.65,2,0.07,4.6,4.7,Indie Developer,2,8,88.12,2026-01-08,2026-01-08 11:48:26
Vainglory,Super Evil Megacorp,Moba,4.1,Normal,0.0,-1.7180231490327573,0.0,2. Good (4.0 - 4.4),Others,4.1,1,0.0,4.1,4.1,Indie Developer,2,95,3.9600000000000004,2026-01-08,2026-01-08 11:48:26
Mobile Strike,Machine Zone,Strategy,4.2,Normal,0.1428571428571434,-1.1396220221917264,14.29,2. Good (4.0 - 4.4),Strategy,4.2,2,0.0,4.2,4.2,Indie Developer,17,80,14.85,2026-01-08,2026-01-08 11:48:26
War Robots,Pixonic,Action,4.3,Normal,0.28571428571428553,-0.5612208953507007,28.57,2. Good (4.0 - 4.4),Action,4.3,1,0.0,4.3,4.3,Indie Developer,5,60,32.18,2026-01-08,2026-01-08 11:48:26
Clash of Lords 2,IGG.COM,Strategy,4.4,Normal,0.42857142857142894,0.017180231490330142,42.86,2. Good (4.0 - 4.4),Strategy,4.35,2,0.07,4.3,4.4,Indie Developer,17,40,51.980000000000004,2026-01-08,2026-01-08 11:48:26
Cooking Fever,Nordcurrent,Simulation,4.4,Normal,0.42857142857142894,0.017180231490330142,42.86,2. Good (4.0 - 4.4),Simulation,4.4,1,0.0,4.4,4.4,Indie Developer,14,40,51.980000000000004,2026-01-08,2026-01-08 11:48:26
Candy Crush Soda Saga,King,Puzzle,4.5,Normal,0.5714285714285711,0.5955813583313558,57.14,1. Top Rated (≥4.5),Puzzle,4.55,2,0.07,4.5,4.6,Indie Developer,13,19,72.28,2026-01-08,2026-01-08 11:48:26
Piano Tiles 2,Cheetah Mobile,Music,4.4,Normal,0.42857142857142894,0.017180231490330142,42.86,2. Good (4.0 - 4.4),Others,4.4,1,0.0,4.4,4.4,Indie Developer,1,40,51.980000000000004,2026-01-08,2026-01-08 11:48:26
Cut the Rope,ZeptoLab,Puzzle,4.5,Normal,0.5714285714285711,0.5955813583313558,57.14,1. Top Rated (≥4.5),Puzzle,4.35,2,0.21,4.2,4.5,Indie Developer,13,19,72.28,2026-01-08,2026-01-08 11:48:26
Jetpack Joyride,Halfbrick Studios,Arcade,4.4,Normal,0.42857142857142894,0.017180231490330142,42.86,2. Good (4.0 - 4.4),Arcade,4.4,2,0.0,4.4,4.4,Indie Developer,10,40,51.980000000000004,2026-01-08,2026-01-08 11:48:26
Crossy Road,Hipster Whale,Arcade,4.6,Normal,0.7142857142857132,1.1739824851723817,71.43,1. Top Rated (≥4.5),Arcade,4.6,1,0.0,4.6,4.6,Indie Developer,10,8,88.12,2026-01-08,2026-01-08 11:48:26
Badland,Frogmind,Adventure,4.5,Normal,0.5714285714285711,0.5955813583313558,57.14,1. Top Rated (≥4.5),Others,4.5,1,0.0,4.5,4.5,Indie Developer,2,19,72.28,2026-01-08,2026-01-08 11:48:26
Shadow Fight 3,Nekki,Action,4.3,Normal,0.28571428571428553,-0.5612208953507007,28.57,2. Good (4.0 - 4.4),Action,4.3,1,0.0,4.3,4.3,Indie Developer,5,60,32.18,2026-01-08,2026-01-08 11:48:26
King of Thieves,ZeptoLab,Arcade,4.2,Normal,0.1428571428571434,-1.1396220221917264,14.29,2. Good (4.0 - 4.4),Arcade,4.35,2,0.21,4.2,4.5,Indie Developer,10,80,14.85,2026-01-08,2026-01-08 11:48:26
Terraria,505 Games,Adventure,4.6,Normal,0.7142857142857132,1.1739824851723817,71.43,1. Top Rated (≥4.5),Others,4.6,1,0.0,4.6,4.6,Indie Developer,2,8,88.12,2026-01-08,2026-01-08 11:48:26
BitLife,Goodgame Studios,Simulation,4.2,Normal,0.1428571428571434,-1.1396220221917264,14.29,2. Good (4.0 - 4.4),Simulation,4.2,1,0.0,4.2,4.2,Indie Developer,14,80,14.85,2026-01-08,2026-01-08 11:48:26
Toca Life: World,Toca Boca,Simulation,4.5,Normal,0.5714285714285711,0.5955813583313558,57.14,1. Top Rated (≥4.5),Simulation,4.5,1,0.0,4.5,4.5,Indie Developer,14,19,72.28,2026-01-08,2026-01-08 11:48:26
Score! Hero,First Touch Games,Sports,4.3,Normal,0.28571428571428553,-0.5612208953507007,28.57,2. Good (4.0 - 4.4),Sports,4.35,2,0.07,4.3,4.4,Indie Developer,4,60,32.18,2026-01-08,2026-01-08 11:48:26
Dream League Soccer,First Touch Games,Sports,4.4,Normal,0.42857142857142894,0.017180231490330142,42.86,2. Good (4.0 - 4.4),Sports,4.35,2,0.07,4.3,4.4,Indie Developer,4,40,51.980000000000004,2026-01-08,2026-01-08 11:48:26
Stick War: Legacy,Max Games Studios,Strategy,4.5,Normal,0.5714285714285711,0.5955813583313558,57.14,1. Top Rated (≥4.5),Strategy,4.5,1,0.0,4.5,4.5,Indie Developer,17,19,72.28,2026-01-08,2026-01-08 11:48:26
Pixel Gun 3D,Cubic Games,Action,4.1,Normal,0.0,-1.7180231490327573,0.0,2. Good (4.0 - 4.4),Action,4.1,1,0.0,4.1,4.1,Indie Developer,5,95,3.9600000000000004,2026-01-08,2026-01-08 11:48:26
Smash Hit,Mediocre,Arcade,4.5,Normal,0.5714285714285711,0.5955813583313558,57.14,1. Top Rated (≥4.5),Arcade,4.5,1,0.0,4.5,4.5,Indie Developer,10,19,72.28,2026-01-08,2026-01-08 11:48:26
Geometry Dash,RobTop Games,Arcade,4.6,Normal,0.7142857142857132,1.1739824851723817,71.43,1. Top Rated (≥4.5),Arcade,4.6,1,0.0,4.6,4.6,Indie Developer,10,8,88.12,2026-01-08,2026-01-08 11:48:26
Fallout Shelter,Bethesda Softworks,Simulation,4.5,Normal,0.5714285714285711,0.5955813583313558,57.14,1. Top Rated (≥4.5),Simulation,4.5,1,0.0,4.5,4.5,Indie Developer,14,19,72.28,2026-01-08,2026-01-08 11:48:26
Hungry Shark Evolution,Ubisoft,Arcade,4.4,Normal,0.42857142857142894,0.017180231490330142,42.86,2. Good (4.0 - 4.4),Arcade,4.4,1,0.0,4.4,4.4,Indie Developer,10,40,51.980000000000004,2026-01-08,2026-01-08 11:48:26
Granny,DVloper,Horror,4.3,Normal,0.28571428571428553,-0.5612208953507007,28.57,2. Good (4.0 - 4.4),Others,4.3,1,0.0,4.3,4.3,Indie Developer,2,60,32.18,2026-01-08,2026-01-08 11:48:26
Five Nights at Freddy's,Scott Cawthon,Horror,4.6,Normal,0.7142857142857132,1.1739824851723817,71.43,1. Top Rated (≥4.5),Others,4.6,1,0.0,4.6,4.6,Indie Developer,2,8,88.12,2026-01-08,2026-01-08 11:48:26
Star Wars: Galaxy of Heroes,Electronic Arts,Rpg,4.4,Normal,0.42857142857142894,0.017180231490330142,42.86,2. Good (4.0 - 4.4),Rpg,4.32,4,0.1,4.2,4.4,Mid-Tier Publisher,6,40,51.980000000000004,2026-01-08,2026-01-08 11:48:26
Summoners War,Com2uS,Rpg,4.2,Normal,0.1428571428571434,-1.1396220221917264,14.29,2. Good (4.0 - 4.4),Rpg,4.2,1,0.0,4.2,4.2,Indie Developer,6,80,14.85,2026-01-08,2026-01-08 11:48:26
Tap Titans 2,Game Hive Corporation,Clicker,4.5,Normal,0.5714285714285711,0.5955813583313558,57.14,1. Top Rated (≥4.5),Others,4.5,1,0.0,4.5,4.5,Indie Developer,1,19,72.28,2026-01-08,2026-01-08 11:48:26
My Talking Tom,Outfit7,Virtual Pet,4.5,Normal,0.5714285714285711,0.5955813583313558,57.14,1. Top Rated (≥4.5),Others,4.5,1,0.0,4.5,4.5,Indie Developer,1,19,72.28,2026-01-08,2026-01-08 11:48:26
Farming Simulator 20,GIANTS Software,Simulation,4.3,Normal,0.28571428571428553,-0.5612208953507007,28.57,2. Good (4.0 - 4.4),Simulation,4.3,1,0.0,4.3,4.3,Indie Developer,14,60,32.18,2026-01-08,2026-01-08 11:48:26
Angry Birds Dream Blast,Rovio Entertainment,Puzzle,4.6,Normal,0.7142857142857132,1.1739824851723817,71.43,1. Top Rated (≥4.5),Puzzle,4.5,3,0.17,4.3,4.6,Mid-Tier Publisher,13,8,88.12,2026-01-08,2026-01-08 11:48:26
Wordscapes,PeopleFun,Puzzle,4.5,Normal,0.5714285714285711,0.5955813583313558,57.14,1. Top Rated (≥4.5),Puzzle,4.5,1,0.0,4.5,4.5,Indie Developer,13,19,72.28,2026-01-08,2026-01-08 11:48:26
2048,Gabriele Cirulli,Puzzle,4.4,Normal,0.42857142857142894,0.017180231490330142,42.86,2. Good (4.0 - 4.4),Puzzle,4.4,1,0.0,4.4,4.4,Indie Developer,13,40,51.980000000000004,2026-01-08,2026-01-08 11:48:26
